1,03/10/2013
1,04/07/2013
1,05/03/2013
1,06/02/2014
1,07/01/2014
1,07/03/2013
1,10/05/2013
1,11/01/2013
1,12/11/2013
1,12/12/2013
1,13/03/2013
1,14/03/2013
1,16/05/2013
1,17/07/2013
1,21/01/2013
1,25/06/2013
1,29/10/2013
1,31/10/2013
2,05/12/2013
2,08/01/2013
2,15/08/2013
2,16/07/2013
2,17/05/2013
2,23/10/2013
2,26/06/2013
2,31/01/2013
2,31/07/2013
3,02/10/2013
3,13/09/2013
3,18/04/2013
3,18/06/2013
3,18/07/2013
3,20/09/2013
3,29/08/2013
3,30/05/2013
4,01/04/2013
4,03/05/2013
4,04/06/2013
4,05/09/2013
4,14/01/2013
4,23/09/2013
5,07/06/2013
5,09/09/2013
5,18/01/2013
5,19/08/2013
5,24/01/2013
6,04/03/2013
6,13/02/2013
7,08/07/2013
8,27/08/2013
9,08/08/2013
10,12/06/2013
11,18/09/2013
15,07/11/2013
15,11/07/2013
